snippet,lead_paragraph,word_count,pub_date,headline.main,subsection_name,year
"Along with all the perils refugees face, women have added accounts of being assaulted, traumas that do not end with their arrival in Europe.",BERLIN — One Syrian woman who joined the stream of migrants to Germany was forced to pay down her husband’s debt to smugglers by making herself available for sex along the way. Another was beaten unconscious by a Hungarian prison guard after refusing his advances.,1604,2016-01-02,"On Perilous Migrant Trail, Women Often Become Prey to Sexual Abuse",Europe,2016
The fragile alliance over migrants in Europe showed signs of strain after Austria and Slovenia threatened to build border fences and Bavaria sought to stem the flow into Germany.,"BERLIN — The fragile alliance that has kept the surge of migrants moving through the Balkans and toward Germany showed more signs of unraveling on Wednesday, while pressure grew within Germany to stem the flow into the overburdened southern state of Bavaria. ",1208,2015-10-28,Austria and Slovenia Trade Threats as Tensions Over Migrants Grow,Europe,2015
"Compared with other routes for refugees crossing the Mediterranean, the journey from Bodrum to Kos is remarkably organized and unfettered.","BODRUM, Turkey — As darkness falls and the last of the shorefront cafes in Bodrum clear their tables for the night, dozens of migrants pour out of a waiting bus. In the gloam, they charge for the sea, dragging a large rubber dinghy.",1780,2015-08-16,"Amid Perilous Mediterranean Crossings, Migrants Find a Relatively Easy Path to Greece",Europe,2015
"About 340 refugees were rescued and a search was underway after the vessel, which may have held 700 people, overturned en route to Italy from Egypt.","LONDON — At least four migrants died and around 340 were rescued on Friday, after a boat bound for Italy capsized in the Mediterranean off the island of Crete, officials and humanitarian agencies said, in the latest tragedy at sea as refugees try desperately to reach Europe.",676,2016-06-03,"Migrant Boat Capsizes off Crete, Killing at Least 4",Europe,2016
Crews on the Mediterranean are being urged to watch for unseaworthy vessels carrying migrants from Libya after a ship with 600 people broke up off the port of Tripoli on Friday.,PARIS — The United Nations refugee agency has urged the crews of ships in the Mediterranean to keep watch for unseaworthy vessels carrying migrants from war-torn Libya after a report that a ship with 600 people on board broke up just off the port of Tripoli on Friday.,669,2011-05-09,U.N. Urges Ships to Help Migrants in Mediterranean,Africa,2011
"The caravan traveling from Central America begins arriving in the northern Mexico border city, setting up a potential confrontation with American authorities.","TIJUANA, Mexico — Hundreds of migrants in the caravan traveling from Central America have begun arriving in the northern Mexico border city of Tijuana, setting up a potential confrontation with the American authorities that has been brewing for weeks.",1444,2018-11-15,First Wave of Migrants in Caravan Reaches U.S. Border in Tijuana,Americas,2018
"Sudanese migrants are increasingly visible in Brussels, around train stations, in public squares and parks, sometimes sleeping in the streets.","BRUSSELS — The city is freezing. At night, Hamza Khater eats and sleeps at a volunteer-run shelter. He spends his days hanging around the international bus stop next to the Gare du Nord.",1220,2018-02-18,How the E.U.’s Migrant Crisis Reached the Streets of Brussels,Europe,2018
"The thousands of Muslim asylum seekers pouring into Denmark have spawned a backlash, and questions over whether the country has a latent racial hostility at its core.","TAARNBY, Denmark — Johnny Christensen, a stout and silver-whiskered retired bank employee, always thought of himself as sympathetic to people fleeing war and welcoming to immigrants. But after more than 36,000 mostly Muslim asylum seekers poured into Denmark over the past two years, Mr. Christensen, 65, said, “I’ve become a racist.”",1967,2016-09-05,‘I’ve Become a Racist’: Migrant Wave Unleashes Danish Tensions Over Identity,Europe,2016
"The U.N. refugee agency warned of a hefty death toll after two vessels foundered, one off Sicily and another off Libya.","LONDON — Almost two shiploads of migrants, 245 in total, were feared dead in wrecks in the Mediterranean Sea, United Nations officials said on Tuesday. The death toll represents a major increase in an already grim tally this year.",590,2017-05-09,245 Migrants Feared Dead in Mediterranean Shipwrecks,Africa,2017
"The law would create a path to citizenship for people who were born to illegal migrants, many of them Haitian, but who have Dominican identification papers.","Under international pressure, the Dominican Republic is poised to create a path to citizenship for tens of thousands of people of Haitian descent whose legal right to reside in the country had been thrown in doubt by a court ruling last year.",545,2014-05-23,Dominican Republic Passes Law for Migrants’ Children,Americas,2014
"Irene Fernandez, the activist and longtime member of the political opposition, has a habit of not mincing her words, which has often landed her in trouble with the authorities.",KUALA LUMPUR — Irene Fernandez has no shortage of shocking tales of the abuse and exploitation of foreign domestic workers in Malaysian homes.,1330,2012-08-06,Malaysian Activist Speaks Out for Migrant Workers,Asia Pacific,2012
Chancellor Angela Merkel of Germany is under increasing pressure to change course on her refugee policy as more allies at home and abroad abandon her on the issue.,"BERLIN — Dozens of lawmakers from her own conservative party signed open letters against her this week. A nationalist right-wing party is gaining in strength. Speculation, building since the fall, now runs rife that she should even be replaced. On Sunday, the top circulation Bild Zeitung headlined an eight-page spread on her political troubles: “Is Merkel Still the Right One?” ",1229,2016-01-22,Stance on Migrants Leaves Merkel Isolated at Home and in Europe,Europe,2016
"The Lithuanian workers, who caught chickens, were not paid minimum wage and were charged illegal fees, and their wages were improperly withheld.","LONDON — A British judge ruled on Friday in favor of six Lithuanian migrant workers who said they had been lured to Britain with the promise of decent employment but ended up in conditions resembling servitude, catching chickens without adequate pay or access to facilities where they could bathe, rest, eat or drink.",639,2016-06-10,British Judge Orders Proper Pay for Exploited Migrant Workers,Europe,2016
Prime Minister Kevin Rudd said an opposition proposal to use Australian naval vessels to tow boats carrying asylum seekers back to Indonesia placed the two countries on a “policy collision.”,"SYDNEY, Australia — Prime Minister Kevin Rudd of Australia on Friday used his first news conference since regaining the country’s top leadership position to warn that policies proposed by the leader of the opposition risked dragging Australia into a military conflict with neighboring Indonesia.",612,2013-06-28,"Migrant Plan Poses Risks for Australia, Leader Says",Asia Pacific,2013
The situation on the ground is often very different from what is discussed in the conference rooms of Brussels as the tide of desperate people keeps flowing into Europe.,"PIRAEUS, Greece — Amid the rancorous bickering this week by European leaders over a relocation plan to spread asylum seekers around the Continent, a Coast Guard officer stood on the dock here at Greece’s main port screaming a blunt command at a throng of rain-soaked new arrivals: Hurry up and relocate yourselves.",1524,2015-09-24,"As Europe Wrangles Over Migrant Relocation, Reality Moves Faster",Europe,2015
"As Brazilians in the northern town of Pacaraima set fire to their tents, hundreds of Venezuelans ran back across the border.",RIO DE JANEIRO — Residents of a border town in northern Brazil that has become a main entry point for Venezuelans seeking refuge destroyed migrant camps over the weekend in one of the most dramatic instances of a backlash to the Venezuelans’ growing presence there.,611,2018-08-19,Residents of Brazil Border Town Attack Camps for Venezuelan Migrants,Americas,2018
The Continent’s leaders had challenges reaching a consensus on the crisis as humanitarian groups have called the proposed policy a violation of international law.,"BRUSSELS — European leaders edged closer early on Friday to a deal to return asylum seekers from Greece to Turkey despite a host of legal, political and moral issues raised by their latest effort to quell the migrant crisis.",914,2016-03-17,European Union Grapples With Plan to Return Migrants From Greece to Turkey,Europe,2016
"Some migrants welcome gated communities as a way to fight crime, but critics see them as a sign of barriers facing rural migrants.","BEIJING  The community is walled and gated, an enclosure of rows of crowded low-rise homes and shops, where people live under the gaze of surveillance cameras and apart from the city. The police patrol around the clock, and security guards stop unfamiliar faces to check identification papers. In the morning, only one gate is open, through which parents head off to work and children go to school. At night, the gate is locked, preventing street loiterers from trespassing.",1017,2010-10-03,Migrant ‘Villages’ Within a City Ignite Debate,Asia Pacific,2010
Italy and France agreed on Friday to carry out joint sea and air patrols to prevent Tunisian migrants from arriving in Italy.,"ROME — Italy and France agreed on Friday to carry out joint sea and air patrols to prevent Tunisian migrants from arriving in Italy, a move that appeared to ease tensions between them over how to contend with thousands of North African migrants who have landed in Italy since January. ",397,2011-04-08,France to Help Italy Block Tunisian Migrants,Europe,2011
"Since February, Misurata has been besieged, stranding thousands between heavy fighting and a harbor that could serve as a departure point.","MISURATA, Libya — The man pressed close, patting the pockets of a foreigner, repeating a single word: “Food. Food. Food.”",1024,2011-04-14,Libyan Port City Is Filled With Migrants Desperate to Exit,Africa,2011
"German legislation may offer a chance for permanent residency to young asylum seekers like Reem Sahwil, who had a tearful exchange with Angela Merkel.","ROSTOCK, Germany — She stared down Greece and embraced her role as the rules enforcer of the European Union. But one teary-eyed young asylum seeker from the Middle East turned the tables on Chancellor Angela Merkel of Germany last week, raising questions about her compassion and focusing attention on Europe’s central humanitarian dilemma.",953,2015-07-21,Tearful Moment With Merkel Turns Migrant Girl Into a Potent Symbol,Europe,2015
"Gathering for their second such session in eight days, the ministers haggled over a proposal to resettle an additional 120,000 people across the European Union.","LONDON — After weeks of indecision, the European Union voted on Tuesday to distribute 120,000 asylum seekers among member states, a plan meant to display unity in the face of the largest movement of refugees on the Continent since World War II.",1372,2015-09-22,Plan on Migrants Strains the Limits of Europe’s Unity,Europe,2015
"Forty-two people were killed when the boat was hit by gunfire near Yemen last week, an episode the U.N. called an “unwarranted attack on helpless civilians.”",The United Nations on Monday called for an inquiry into an aerial assault on a boat of migrants last week off Yemen’s Red Sea coast that left at least 42 people dead.,458,2017-03-20,U.N. Seeks Inquiry Into Deadly Assault on Migrant Boat Near Yemen,Middle East,2017
"The boat was carrying more than 100 Syrians, Iraqis and Palestinians who were apparently trying to migrate to the European Union, the semiofficial Anatolian News Agency said.","ISTANBUL — At least 58 migrants drowned in the Aegean Sea just off the Turkish coast after the fishing boat that was carrying them sank early Thursday morning, local officials told a Turkish news agency. ",180,2012-09-06,Migrants Die as Boat Sinks Off Turkey,Middle East,2012
"A new government program aims to encourage migrant workers in the Gulf to put aside savings for their inevitable return instead of sending all their earnings home, where it is often misspent.",DUBAI — A new program introduced by India’s Ministry of Overseas Indian Affairs aims to encourage the country’s migrant workers in the Gulf to put aside savings for their inevitable return instead of sending all their earnings home to their families. ,1032,2012-09-05,New Help for Migrant Workers From India,Middle East,2012
"After a European Union deal with Turkey took effect, migrants by the hundreds continued to reach the Greek islands, where processing centers were not yet adequately staffed.","ATHENS — Greece and the European Union scrambled on Sunday to put in place the people and the facilities needed to carry out a new deal intended to address the migrant crisis that is roiling Europe, as hundreds of migrants in rubber dinghies continued to land on the Greek islands from Turkey.",708,2016-03-20,Greece Struggles to Enforce Migrant Accord on First Day,Europe,2016
"In Mexico and Latin America, old migratory patterns are changing as migrants move to a wider range of cities and countries, creating regional challenges and opportunities.","SANTA MARÍA ATZOMPA, Mexico — When the old-timers here look around their town, all they see are new arrivals: young Mexican men working construction and driving down wages; the children of laborers flooding crowded schools; even new businesses — stores, restaurants and strip clubs — springing up on roads that used to be dark and quiet.",1836,2012-01-06,Migrants’ New Paths Reshaping Latin America,Americas,2012
Some migrants lit shacks on fire to protest their evictions as workers tore down tents and disassembled huts at the camp near Calais.,"PARIS — The French authorities faced angry protesters on Monday as they began to dismantle part of a vast migrant camp near the northern city of Calais after a court order last week that at least partially allowed the government to move forward with its plans to vacate the settlement, known as “the Jungle.”",500,2016-02-29,France Faces Protests as It Dismantles ‘Jungle’ Migrant Camp,Europe,2016
"A ship carrying more than 80 migrants stranded at sea for nearly three weeks must be allowed to dock in Italy, a prosecutor ordered on Tuesday, ending a crisis that had grown more dire by the day.","ROME — A ship carrying over 80 migrants stranded off the coast of Italy for nearly three weeks must be allowed to dock, an Italian prosecutor ordered on Tuesday, ending a crisis that had grown more dire by the day as desperate passengers began throwing themselves off the vessel.",647,2019-08-20,"After Desperate Migrants Jump Ship, Italy Allows Rescue Vessel to Dock",Europe,2019
"The Sea Watch 3, seeking to disembark 42 people it picked up off Libya, has entered Italian waters off the island of Lampedusa, in defiance of new legislation.","ROME — A rescue ship carrying 42 migrants floated in Italian waters off the Mediterranean island of Lampedusa on Thursday, further inflaming tensions between humanitarian groups and Italy’s populist government, which has adopted hard-line immigration policies.",778,2019-06-27,Rescue Ship Poses New Test for Italy’s Hard-Line Migrant Policies,Europe,2019
"President Trump, locked in a battle over a border wall, is trying to turn the migrants gathering in Honduras to his advantage. In Mexico, the new government vowed to treat the migrants humanely.","SAN PEDRO SULA, Honduras — A new caravan of migrants is forming in Honduras, and even ahead of its scheduled departure at dawn on Tuesday, battle lines were being drawn to the north, with some vowing to help them on their journey north, and others to block them.",1086,2019-01-14,"A New Migrant Caravan Forms, and Old Battle Lines Harden",Americas,2019
"As the government tried to speed up the evacuation of Syrians and other migrants from the island of Kos, some migrants said they had been locked in a stadium.","KOS, Greece — The Greek government moved on Thursday to speed up the evacuation of Syrians and other migrants who have overwhelmed the picturesque harbor of this southeastern Aegean island in recent days.",671,2015-08-13,"Greek Island of Kos, Overwhelmed With Migrants, Tries to Move Them Along",Europe,2015
The offer echoes calls in Italy and Spain for other states to help deal with the arrival of thousands of migrants from Africa.,"ROME — A ship carrying over 200 African migrants rescued from the Mediterranean last week will be allowed to dock in Malta if other European countries agree to share the responsibility of taking them in, the Maltese government said on Tuesday.",1088,2018-06-26,"Malta Says It Will Accept Stranded Ship if Others Take In Migrants, Too",Europe,2018
The image of foreign workers locking up their bosses and marching for better pay and conditions is not typically Swedish.,"The image of migrant workers freezing, locking up their bosses and marching for better pay and conditions is not typically Swedish. ",926,2010-09-07,Asian Migrant Workers See Exploitation in Sweden,Europe,2010
"At least 46 died when their boat sank in the Mediterranean off Tunisia, and Turkey said nine, including six children, died when a vessel capsized off its southern coast.","Rescuers said on Sunday that dozens of migrants had drowned off the coasts of Tunisia and Turkey, while hundreds had been rescued off Spain, as the flow of people seeking to get to Europe continued despite tightened controls.",446,2018-06-03,Dozens of Migrants Drown Off Tunisia and Turkey; Hundreds Rescued Off Spain,Europe,2018
"The camp in north central Paris held 380 people, mostly from East Africa, who were moved to housing for asylum seekers or shelters.",PARIS — The French police evacuated hundreds of migrants from a camp in Paris early Tuesday in the latest attempt to control a growing population of migrants arriving on European shores after crossing the Mediterranean Sea.,538,2015-06-02,Paris Police Clear Out Migrant Camp and Destroy Tents,Europe,2015
"Manitoba has won new power to bring foreigners in, handpicking ethnic and occupational groups.","WINNIPEG, Manitoba — As waves of immigrants from the developing world remade Canada a decade ago, the famously friendly people of Manitoba could not contain their pique.",1350,2010-11-13,"Defying Trend, Canada Lures More Migrants",Americas,2010
A video piece about the white truck in which 71 migrants suffocated last year has divided a border town with a long history of embracing refugees.,"NICKELSDORF, Austria — When darkness descends on this farming village on the border with Hungary, the only lights left shining are often at the Jazzgalerie Nickelsdorf.",1187,2016-09-05,An Art Exhibit Based on a Migrant Tragedy in Austria Stirs Unease,Europe,2016
"A surge in migrants trying to cross the channel has led to a rise in break-ins of the fishing boats in a French port, as smugglers look for more seaworthy options to make the treacherous voyage.","BOULOGNE-SUR-MER, France — There is disquiet along the cold, foggy quays of this major French fishing port facing Britain.",1193,2019-01-14,"As Migrants Risk Crossing the English Channel, French Fishing Boats Pay a Price",Europe,2019
"Extradited to Italy, Medhanie Yehdego Mered is suspected of helping lead a ring linked to the deaths of 359 people off Italy in 2013.","ROME — An Eritrean man accused of organizing an extensive people-smuggling network that led to the deaths of hundreds of Africans trying to cross the Mediterranean Sea has been captured in Sudan and extradited to Italy, the authorities said Wednesday.",967,2016-06-08,"Eritrean Accused of Trafficking Migrants Is Captured in Sudan, Italy Says",Africa,2016
"The issue of illegal immigration from Haiti to the Bahamas has spanned decades, with Haitian nationals long stigmatized in the country.","NASSAU, Bahamas — More than 100 Haitian migrants were deported on Thursday, six weeks after Hurricane Dorian leveled Abaco and Grand Bahama in the northern Bahamas with a devastating wallop that struck the Haitian community especially hard.",611,2019-10-11,"Haitian Migrants, Devastated by Dorian, Face Deportation From Bahamas",Americas,2019
A route to Norway through Russia has made a remote far-north border an increasingly popular back door into Europe. A legal quirk makes pedaling necessary.,"STORSKOG, Norway — Pelted by hailstones and buffeted by an icy wind, Yasir Arslanuk, a 55-year-old Syrian engineer, his wife and two young sons wobbled across the border from Russia into Norway astride bicycles last week, the latest migrants to complete an improbable new route to Europe.",1521,2015-10-09,"Avoiding Risky Seas, Migrants Reach Europe With an Arctic Bike Ride",Europe,2015
The moves by the two Scandinavian countries represented another step in the erosion of the ideal of borderless travel across most of the European Union.,"LONDON — The continued flow of people along Europe’s migration trail, from Turkey and Greece to the Balkans to Scandinavia, faced new impediments on Monday as two of the northernmost destinations further tightened border controls in response to political, economic and logistical pressures.",1217,2016-01-04,Sweden and Denmark Add Border Checks to Stem Flow of Migrants,Europe,2016
"The authorities said the situation had stabilized, but others saw a need for more urgent action at the chronically overcrowded facilities.","ATHENS — The situation at a notorious reception center for migrants on the Greek island of Lesbos has stabilized after a fire left a woman dead and touched off rioting, the authorities said on Monday, with local politicians and the United Nations saying the developments were further evidence that conditions had long passed the breaking point.",817,2019-09-30,Riots Erupt at Greek Migrant Camp on Lesbos After Deadly Fire,Europe,2019
The American government has demanded that Mexico halt thousands of Central Americans making their way north. But Mexico may be in a no-win situation.,"MEXICO CITY — When American and Mexican officials prepared to meet in Guatemala in July, one issue in particular was weighing on the United States.",1305,2018-10-22,Migrant Caravan Puts Mexico Back in U.S. Cross Hairs,Americas,2018
"In countries like Slovakia and Hungary, vigilante groups are portraying a menacing incursion of asylum seekers to build support for their xenophobic agendas.","BRATISLAVA, Slovakia — The People’s Party-Our Slovakia, after months of stirring up fears about foreigners and Muslim migrants, decided to take action: This spring, the group’s leader proudly stood in front of the main railway station in Zvolen, Slovakia, and announced that a new group of volunteers would begin patrolling passenger trains to keep the “decent citizens” of Slovakia safe from criminals and minorities.",1271,2016-06-11,Vigilantes Patrol Parts of Europe Where Few Migrants Set Foot,Europe,2016
"As Europe’s leaders bickered over policy, thousands of migrants were stuck in Budapest, while trains between France and Britain were disrupted.",BUDAPEST — A ragged metropolis of thousands of weary and bedraggled migrants continued to rise here on Wednesday in the labyrinth of underground passageways outside Keleti train station.,1377,2015-09-02,Squalid Migrant City Rises in Budapest as Europe Seeks Solutions,Europe,2015
"Turkey’s president accused the European Union of not keeping its commitments, and he suggested he might allow migrants to cross Turkish borders again.","ISTANBUL — President Recep Tayyip Erdogan angrily threatened on Friday to open the floodgates of migrants into Europe again, apparently in response to a move to suspend talks on Turkey’s membership in the European Union.",715,2016-11-25,Erdogan Threatens to Let Migrant Flood Into Europe Resume,Europe,2016
The effort showed the determination of asylum seekers to gain a coherent policy that will help them make their journeys and save lives.,"EDIRNE, Turkey — Doaa, a 25-year old Syrian, was lying in the shade one day last week, trying to shelter herself from the scorching sun in a makeshift camp near this northwestern border city. A pile of blankets next to her quivered, and a tiny hand emerged. Her son, Nassim, was just a week old.",1323,2015-09-19,Facebook Group’s Push for Safe Land Passage for Migrants Founders ,Europe,2015
Pastors have sheltered a family of refugees by praying round the clock for six weeks — taking advantage of an obscure Dutch law and experimenting with their sermons.,"THE HAGUE — Jessa van der Vaart and Rosaliene Israel, two Dutch pastors, usually get to church by cycling through the streets of Amsterdam to a Protestant parish in the city center. But last Wednesday night, they packed their robes into the trunk of a car and drove down the highway to The Hague for what was the equivalent of a priestly shift change.",1599,2018-12-10,"To Protect Migrants From Police, a Dutch Church Service Never Ends",Europe,2018
"To hinder migrants crossing the Mediterranean, European navies stopped rescuing them. Now commercial ships are tasked with saving lives — and returning migrants to war-torn Libya.","HAMBURG, Germany — The  Panther, a German-owned merchant ship, is not in the business of sea rescues. But one day a few months ago the Libyan Coast Guard ordered it to divert course, rescue 68 migrants in distress in the Mediterranean and return them to Libya, which is embroiled in civil war.",1407,2020-03-20,Privatized Pushbacks: How Merchant Ships Guard Europe,Europe,2020
"The blaze on Tuesday in Düsseldorf broke out after a meal service was reduced in consideration for residents observing Ramadan, when many Muslims fast during the day.","BERLIN — The German authorities are investigating a fire that destroyed a warehouse used as a refugee shelter in the western city of Düsseldorf this week. The fire broke out after a dispute over a decision to scale back the midday meal during the month of Ramadan, when many Muslims fast during the day.",504,2016-06-10,"Fire at Refugee Shelter in Germany Followed a Dispute Over Ramadan, Police Say",Europe,2016
A Mexican newspaper published a heartbreaking image of a man and his young daughter who died while trying to cross the Rio Grande.,"MEXICO CITY — The father and daughter lie face down in the muddy water along the banks of the Rio Grande, her tiny head tucked inside his T-shirt, an arm draped over his neck.",1173,2019-06-25,Photo of Drowned Migrants Captures Pathos of Those Who Risk It All,Americas,2019
"The Trump administration treats all undocumented border crossing as a crime, jailing adults and splitting families. The U.N. says that violates the children’s rights.","GENEVA — The Trump administration’s practice of separating children from migrant families entering the United States violates their rights and international law, the United Nations human rights office said on Tuesday, urging an immediate halt to the practice.",742,2018-06-05,"Taking Migrant Children From Parents Is Illegal, U.N. Tells U.S.",Americas,2018
"The number of refugees arriving in Greece nearly doubled last week, to more than 1,000. Many are realizing that an agreement to stanch the flow is not being enforced.","BODRUM, Turkey — The number of Syrians and others fleeing Turkey for Greece is growing rapidly once again as an agreement reached months ago to curb the flood of refugees into Europe seems to be on the verge of collapse.",1187,2016-09-14,Refugees Pour Out of Turkey Once More as Deal With Europe Falters,Europe,2016
"Business groups denounced the plan, warning of looming labor shortages at a time of nearly full employment.","LONDON — To a chorus of complaints from employers, Britain said on Wednesday that it would slam the door on low-skilled workers as it moved to cut overall immigration by locking migrants from Europe and elsewhere out of sectors like catering, construction, senior care and hospitality.",1194,2020-02-19,U.K.’s New Immigration Rules Will Restrict Low-Skilled Workers,Europe,2020
"Inside Germany and in Europe at large, some leaders and the general public worry that the Continent is reaching its limits with the migrant crisis.",BERLIN — The past six weeks of refugee crisis have shown Chancellor Angela Merkel unwavering in her resolve to have Germany accommodate hundreds of thousands of newcomers from the Middle East and Africa. But for how long?,1093,2015-10-16,Pressure Grows on Merkel as Strain From Refugees Increases,Europe,2015
A pioneering program seeks to combat sexual violence by helping new immigrants adapt to a society whose sexual norms they may find confusing.,"SANDNES, Norway — When he first arrived in Europe, Abdu Osman Kelifa, a Muslim asylum seeker from the Horn of Africa, was shocked to see women in skimpy clothes drinking alcohol and kissing in public. Back home, he said, only prostitutes do that, and in locally made movies couples “only hug but never kiss.”",1547,2015-12-19,Norway Offers Migrants a Lesson in How to Treat Women,Europe,2015
Thousands of undocumented immigrants have used travel permission under a 2012 program to visit the countries they left as children. The program could be canceled.,"MEXICO CITY — The young Mexican couple packed their possessions in boxes and garbage bags 20 years ago, locked them in a room of their half-built house in Mexico City and then migrated illegally to the United States with their 3-year-old daughter in search of work, taking only what they could carry.",1661,2016-11-06,"Undocumented Migrants, Free Now to Visit Mexico, Face Iffy Future",Americas,2016
"Demonstrators defied troops and a curfew after the bill, which would make it easier for some non-Muslim migrants to become citizens, was approved in Parliament.","NEW DELHI — Tens of thousands of protesters rioted in three states across India’s northeast, some defying a government curfew and military deployment to demonstrate against the passage of the contentious Citizenship Amendment Bill, which will grant citizenship to thousands of migrants on religious grounds.",663,2019-12-12,2 Dead in Protests Over India’s Religion-Based Citizenship Bill,Asia Pacific,2019
"Demonstrations in the city began after a 35-year-old man was killed over the weekend, and nationalists called on people to “defend” their country from immigrants.","BERLIN — Protesters flashing Nazi salutes and shouting “Foreigners out” clashed Monday night with counterdemonstrators chanting, “Refugees welcome,” in a second night of violence in the east German city of Chemnitz that left several people injured and a country dismayed over images of rioting.",666,2018-08-28,German Far Right and Counterprotesters Clash in Chemnitz,Europe,2018
"Gorgui Lamine Sow, a street vendor from Senegal, could be granted residency in recognition of his actions.","When Gorgui Lamine Sow heard shouts for help and saw the fire at a residence in eastern Spain last week, he didn’t think twice. Scaling a wall and climbing onto a balcony, he entered the burning second-floor apartment, hoisted the occupant onto his shoulder and carried him to safety.",551,2019-12-12,Migrant Who Rescued Man From Burning Building Earns Praise in Spain,Europe,2019
The European authorities arrested 77 people accused of running a network smuggling in immigrants from Kosovo to countries in Western Europe.,"BERLIN — The police in seven countries, trying to stanch the mass migration of Kosovars through Serbia and into the European Union, arrested 77 people accused of running a smuggling operation, the European authorities said on Wednesday.",355,2015-03-25,Dozens Arrested in Raids to Stem Illegal Influx of Kosovars,Europe,2015
A question has come to dominate the lives of thousands of Syrians here: Embark on a perilous journey to Europe or build a new life in Turkey.,"ISTANBUL — At Pages, a bookstore and cafe in a three-story wooden house in a tidy cul-de-sac up a hill in this city’s oldest quarter, a literary refuge has blossomed for young Arabs in exile — mainly Syrians but also Iraqis, Libyans and Yemenis who have fled the troubles of home and taken up residence here.",1155,2015-12-23,Syrian Migrants in Istanbul Confront Choice: Stay or Move On,Europe,2015
"The second outbreak of skirmishes in three days came amid protests over border closings, which have left more than 12,000 stuck in a makeshift refugee camp.","ATHENS — Clashes erupted at Greece’s northern border for the second time in three days on Wednesday, with the Macedonian police firing tear gas on scores of migrants as they protested border closings that have left more than 12,000 stranded in a makeshift refugee camp.",727,2016-04-13,Greece Holds Activists as Migrants and Police Clash Anew at Macedonia Border,Europe,2016
"The Bosnian-Croatian border is one of the last gateways to northern Europe. The Croatian police are trying to seal it, often in brutal fashion.","GLINICA, Bosnia and Herzegovina — The hills on the Bosnian-Croatian border have not been a battleground since the end of the Bosnian war, a quarter-century ago. But to some farmers in remote parts of the Bosnian side, it sometimes still resembles a conflict zone.",1324,2020-01-24,Europe’s Migration Crisis Has Ebbed. Croatia Wants to Keep It That Way.,Europe,2020
"As nearby conflicts have reshaped Europe’s migrant flows recently, the current state of Libya has created migrants who might have had no other choice.","SYRACUSE, Sicily — By now, the unceasing tides of migrants arriving at the ports of Sicily fall into loose national categories.",1120,2015-05-01,"Displaced Again and Again, Some African Migrants Had No Plan to Land in Italy",Europe,2015
"Centers used to hold illegal immigrants in Italy and elsewhere in Europe are coming in for criticism from rights groups that say they are inhumane, ineffective and costly.","ROME — The Identification and Expulsion Center, a detention complex on the outskirts of Rome where illegal immigrants can be held for months before deportation, is not a prison. But the difference seems mostly a question of semantics. ",1415,2013-06-05,"Italy’s Migrant Detention Centers Are Cruel, Rights Groups Say",Europe,2013
"Although President Andrés Manuel López Obrador of Mexico had opened his arms to migrants, his officials have recently ramped up detentions and deportations, following pressure from President Trump.","TAPACHULA, Mexico — They arrived at dusk, dressed for combat, pouring from government vehicles. A phalanx of military and police personnel swarmed a small hotel in the center of Tapachula, this scrappy city near Mexico’s border with Guatemala. Their target: undocumented migrants.",1638,2019-06-03,"Mexico Cracks Down on Migrants, After Pressure From Trump to Act",Americas,2019
Prime Minister Tony Abbott has refused to confirm or deny whether the government paid smugglers to turn a boat full of migrants back to Indonesia.,"SYDNEY, Australia — Australian opposition lawmakers said Saturday that they would press Prime Minister Tony Abbott to reveal whether the government paid smugglers to turn a boat full of migrants back to Indonesia after intercepting it at sea.",599,2015-06-13,Australian Leader Is Pressed on Whether Migrant Smugglers Were Paid to Turn Back,Asia Pacific,2015
"Tens of thousands are seeking asylum, shelter and work, posing a challenge to the government and society of Nicaragua’s neighbor to the south.","PEÑAS BLANCAS, Costa Rica — The three men, fearing for their lives, left their homes in western Nicaragua under the cover of night. A taxi drove them south for hours. At a bend in a road, they got out, walked through scrubland and forest in darkness, passed through a gap in a low fence — and emerged in Costa Rica.",1429,2018-09-22,Nicaraguan Migrants Fleeing Turmoil Test Costa Rica’s Good Will,Americas,2018
"With the nation’s economy in crisis, the body’s refugee agency said the Continent had a responsibility to help deal with the surge.","GENEVA — The United Nations warned on Friday that Greece and its Balkan neighbors were being overwhelmed by the flood of migrants arriving from Syria and other areas of conflict, and it urged European countries to step forward with aid to avert a looming humanitarian crisis.",485,2015-07-10,"U.N., Warning of Migrant Crisis in Greece, Urges Europe to Act",Europe,2015
"The discovery of the bodies of two children and two adults came a day after the Greek Coast Guard mounted one of its biggest rescue operations this year, saving more than 240.","ATHENS — Greek rescuers recovered four bodies off the island of Lesbos on Thursday, bringing the death toll from the sinking of a large smuggling vessel to seven, with dozens more feared missing, officials said.",421,2015-10-29,Death Toll From Sinking of Migrants’ Boat Off Greece Rises to 7,Europe,2015
"Fleeing catastrophe in Yemen, hundreds of asylum seekers have turned up on Jeju, a South Korean honeymoon spot. Their arrival has created a wave of intense opposition and fear.","JEJU, South Korea — A subtropical island famed for its turquoise seas, female divers and golf courses, Jeju has attracted South Korean honeymooners for decades. In recent months, however, the resort island has been receiving a new type of visitor — asylum seekers fleeing the catastrophe in Yemen.",1369,2018-09-12,Migrants Expected Warm Welcome on Korean Resort Island. They Were Wrong.,Asia Pacific,2018
